date,sp500,momentum,value
2015-09-03,0.1164793785839843,-0.77,0.17
2015-09-04,-1.532959563091748,0.77,-1.26
2015-09-08,2.508305333455229,0.7,2.53
2015-09-09,-1.3897560450837034,0.27,-1.28
2015-09-10,0.5277955033964158,0.3,0.49
2015-09-11,0.4487043331167642,1.24,0.57
2015-09-14,-0.4089655949418316,0.39,-0.41
2015-09-15,1.2831311668480234,-0.14,1.16
2015-09-16,0.8705414463438973,-1.5,0.79
2015-09-17,-0.2561059609232319,1.01,-0.11
2015-09-18,-1.6164165808483653,0.96,-1.42
2015-09-21,0.4565783909129196,-0.26,0.43
2015-09-22,-1.2318429542511902,0.34,-1.33
2015-09-23,-0.2048642649292257,1.66,-0.32
2015-09-24,-0.3362984570741371,-0.59,-0.41
2015-09-25,-0.0465793071594488,-0.92,-0.07
2015-09-28,-2.5666090316902848,-1.07,-2.68
2015-09-29,0.1232853098594945,-0.62,-0.22
2015-09-30,1.9075555652102023,0.88,1.93
2015-10-01,0.1973884232411689,0.86,0.1
2015-10-02,1.4315289254205483,-0.92,1.34
2015-10-05,1.8289841072045911,-1.79,1.68
2015-10-06,-0.3588236241753443,-2.58,-0.35
2015-10-07,0.803563358440328,-0.44,0.87
2015-10-08,0.8818435632298987,-1.26,0.86
2015-10-09,0.0725111357655348,0.31,0.29
2015-10-12,0.1275477063694751,1.4,0.05
2015-10-13,-0.68254241800043,-0.06,-0.75
2015-10-14,-0.4716274113391021,-0.84,-0.79
2015-10-15,1.4852773562122903,0.86,1.16
2015-10-16,0.4570474276163921,0.9,0.29
2015-10-19,0.0270545619301527,1.16,0.12
2015-10-20,-0.1421090030626065,-1.37,-0.13
2015-10-21,-0.5825415425425594,0.23,-0.59
2015-10-22,1.662757188476459,-0.77,1.77
2015-10-23,1.1030344256396656,0.83,0.96
2015-10-26,-0.1913100348159861,1.49,-0.24
2015-10-27,-0.255411850910111,1.29,-0.57
2015-10-28,1.1840033238402536,-0.32,1.21
2015-10-29,-0.0449774418600674,-0.47,0.12
2015-10-30,-0.4809877153487967,-0.62,-0.33
2015-11-02,1.1873817294504811,-0.3,0.92
2015-11-03,0.2728067235248563,-0.91,0.19
2015-11-04,-0.3545367008911197,0.64,-0.27
2015-11-05,-0.1132148414459877,0.75,-0.19
2015-11-06,-0.0347621598642917,0.52,-0.08
2015-11-09,-0.9822729364192948,0.17,-0.93
2015-11-10,0.1510595157354351,0.8,-0.19
2015-11-11,-0.3228085954698269,0.95,-0.38
2015-11-12,-1.3990375421686752,0.5,-1.31
2015-11-13,-1.120736488072337,-0.54,-1.33
2015-11-16,1.4903265095486384,-0.63,1.28
2015-11-17,-0.1339379248400477,0.73,0.06
2015-11-18,1.6162451938893374,-0.09,1.72
2015-11-19,-0.112310922181889,-0.2,0.23
2015-11-20,0.3810195863092179,0.87,0.45
2015-11-23,-0.1234860780271236,0.35,0.04
2015-11-24,0.1221996124041832,-0.83,0.01
2015-11-25,-0.0129132568337604,0.13,0.14
2015-11-27,0.0593617568611892,0.62,0.05
2015-11-30,-0.4640997126186278,-0.75,-0.51
2015-12-01,1.0680573511899096,0.23,0.73
2015-12-02,-1.0995693149291956,0.67,-0.98
2015-12-03,-1.437352686751413,-0.27,-1.35
2015-12-04,2.05256689525358,1.36,1.86
2015-12-07,-0.6989502943734861,1.13,-0.61
2015-12-08,-0.6489901427822256,1.15,-0.49
2015-12-09,-0.7738985127360191,-1.41,-0.82
2015-12-10,0.2251386981596676,-0.35,0.32
2015-12-11,-1.9422767130611769,0.46,-2.08
2015-12-14,0.4755559874067826,0.98,0.36
2015-12-15,1.0618561196917324,-0.31,0.59
2015-12-16,1.4514969343641777,0.08,1.38
2015-12-17,-1.5040520569611564,0.76,-1.65
2015-12-18,-1.7797220091700192,-0.55,-1.6
2015-12-21,0.7778402243204183,0.06,0.76
2015-12-22,0.881673640669842,-0.77,0.87
2015-12-23,1.241806812269134,-1.45,1.18
2015-12-24,-0.1598636304808495,-0.01,-0.15
2015-12-28,-0.2178559828910199,1.01,-0.28
2015-12-29,1.0629762703622645,0.47,1.1
2015-12-30,-0.7217228597430927,0.32,-0.73
2015-12-31,-0.941191308977841,-0.79,-1.01
2016-01-04,-1.530373098179018,-1.69,-1.53
2016-01-05,0.2012226074739071,0.38,0.1
2016-01-06,-1.3115396617014987,1.27,-1.22
2016-01-07,-2.3700443039098285,0.21,-2.38
2016-01-08,-1.0838374634476389,-0.2,-0.91
2016-01-11,0.0853272308577534,1.24,0.28
2016-01-12,0.7802798638371756,0.94,0.77
2016-01-13,-2.496545260273252,-0.52,-2.83
2016-01-14,1.6695905641396367,-0.36,1.37
2016-01-15,-2.159909812178409,0.24,-2.02
2016-01-19,0.0531821554408081,0.96,0.0
2016-01-20,-1.169385515275344,0.49,-0.87
2016-01-21,0.519543826464333,-1.84,0.76
2016-01-22,2.028370093089691,-0.41,2.0
2016-01-25,-1.563798186831424,1.35,-1.29
2016-01-26,1.4144335682203713,-1.72,1.38
2016-01-27,-1.0863483946818713,-0.55,-1.55
2016-01-28,0.5528577110863419,0.05,0.56
2016-01-29,2.476021748183284,-0.84,2.06
2016-02-01,-0.0443236406028217,0.55,0.26
2016-02-02,-1.8743091042644824,1.2,-1.84
